time	zone	type	price
2017-11-27T21:20:43.000Z	us-east-1d	c4.4xlarge	0.2396
2017-11-27T21:19:44.000Z	us-east-1d	c4.4xlarge	0.2397
2017-11-27T21:18:38.000Z	us-east-1d	c4.4xlarge	0.2398
2017-11-27T21:16:34.000Z	us-east-1d	c4.4xlarge	0.24
2017-11-27T21:11:22.000Z	us-east-1d	c4.4xlarge	0.2402
2017-11-27T21:10:12.000Z	us-east-1d	c4.4xlarge	0.2403
2017-11-27T21:08:08.000Z	us-east-1d	c4.4xlarge	0.2404
2017-11-27T21:06:10.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T21:04:54.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T21:03:35.000Z	us-east-1d	c4.4xlarge	0.2407
2017-11-27T21:02:58.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T21:02:22.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T21:01:50.000Z	us-east-1d	c4.4xlarge	0.241
2017-11-27T21:00:50.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T20:58:40.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T20:57:38.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T20:55:36.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T20:54:24.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T20:53:24.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T20:50:12.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T20:48:30.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T20:47:02.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T20:45:42.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T20:43:04.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T20:42:00.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T20:38:50.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T20:37:04.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:36:36.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T20:32:22.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:31:26.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:30:12.000Z	us-east-1d	c4.4xlarge	0.2426
2017-11-27T20:29:14.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:27:18.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T20:27:16.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:26:42.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T20:26:20.000Z	us-east-1d	c4.4xlarge	0.2426
2017-11-27T20:26:04.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:25:06.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:25:04.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:24:04.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:24:02.000Z	us-east-1d	c4.4xlarge	0.2426
2017-11-27T20:23:04.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T20:19:54.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:17:44.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T20:16:46.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T20:16:44.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T20:15:34.000Z	us-east-1d	c4.4xlarge	0.2429
2017-11-27T20:13:32.000Z	us-east-1d	c4.4xlarge	0.243
2017-11-27T20:10:30.000Z	us-east-1d	c4.4xlarge	0.2431
2017-11-27T20:08:24.000Z	us-east-1d	c4.4xlarge	0.2433
2017-11-27T20:05:08.000Z	us-east-1d	c4.4xlarge	0.2434
2017-11-27T20:02:56.000Z	us-east-1d	c4.4xlarge	0.2435
2017-11-27T20:02:06.000Z	us-east-1d	c4.4xlarge	0.2436
2017-11-27T20:01:04.000Z	us-east-1d	c4.4xlarge	0.2437
2017-11-27T20:01:00.000Z	us-east-1d	c4.4xlarge	0.2438
2017-11-27T19:59:58.000Z	us-east-1d	c4.4xlarge	0.2437
2017-11-27T19:58:06.000Z	us-east-1d	c4.4xlarge	0.2438
2017-11-27T19:58:00.000Z	us-east-1d	c4.4xlarge	0.2437
2017-11-27T19:57:54.000Z	us-east-1d	c4.4xlarge	0.2435
2017-11-27T19:54:46.000Z	us-east-1d	c4.4xlarge	0.2437
2017-11-27T19:51:34.000Z	us-east-1d	c4.4xlarge	0.2439
2017-11-27T19:44:06.000Z	us-east-1d	c4.4xlarge	0.244
2017-11-27T19:43:06.000Z	us-east-1d	c4.4xlarge	0.2441
2017-11-27T19:40:56.000Z	us-east-1d	c4.4xlarge	0.2444
2017-11-27T19:38:52.000Z	us-east-1d	c4.4xlarge	0.2446
2017-11-27T19:37:52.000Z	us-east-1d	c4.4xlarge	0.2447
2017-11-27T19:36:52.000Z	us-east-1d	c4.4xlarge	0.2448
2017-11-27T19:34:50.000Z	us-east-1d	c4.4xlarge	0.2449
2017-11-27T19:27:53.000Z	us-east-1d	c4.4xlarge	0.245
2017-11-27T19:26:15.000Z	us-east-1d	c4.4xlarge	0.2451
2017-11-27T19:10:09.000Z	us-east-1d	c4.4xlarge	0.245
2017-11-27T19:06:55.000Z	us-east-1d	c4.4xlarge	0.2449
2017-11-27T19:05:59.000Z	us-east-1d	c4.4xlarge	0.245
2017-11-27T19:05:11.000Z	us-east-1d	c4.4xlarge	0.2449
2017-11-27T19:03:39.000Z	us-east-1d	c4.4xlarge	0.245
2017-11-27T19:01:01.000Z	us-east-1d	c4.4xlarge	0.2449
2017-11-27T18:53:59.000Z	us-east-1d	c4.4xlarge	0.245
2017-11-27T18:53:31.000Z	us-east-1d	c4.4xlarge	0.2449
2017-11-27T18:52:21.000Z	us-east-1d	c4.4xlarge	0.2447
2017-11-27T18:51:57.000Z	us-east-1d	c4.4xlarge	0.2446
2017-11-27T18:51:53.000Z	us-east-1d	c4.4xlarge	0.2445
2017-11-27T18:51:37.000Z	us-east-1d	c4.4xlarge	0.2446
2017-11-27T18:51:35.000Z	us-east-1d	c4.4xlarge	0.2445
2017-11-27T18:51:33.000Z	us-east-1d	c4.4xlarge	0.2444
2017-11-27T18:51:31.000Z	us-east-1d	c4.4xlarge	0.2443
2017-11-27T18:51:25.000Z	us-east-1d	c4.4xlarge	0.2441
2017-11-27T18:51:21.000Z	us-east-1d	c4.4xlarge	0.244
2017-11-27T18:51:19.000Z	us-east-1d	c4.4xlarge	0.2439
2017-11-27T18:51:15.000Z	us-east-1d	c4.4xlarge	0.2438
2017-11-27T18:51:11.000Z	us-east-1d	c4.4xlarge	0.2437
2017-11-27T18:51:05.000Z	us-east-1d	c4.4xlarge	0.2435
2017-11-27T18:50:59.000Z	us-east-1d	c4.4xlarge	0.2434
2017-11-27T18:50:53.000Z	us-east-1d	c4.4xlarge	0.2433
2017-11-27T18:50:51.000Z	us-east-1d	c4.4xlarge	0.2432
2017-11-27T18:50:37.000Z	us-east-1d	c4.4xlarge	0.2431
2017-11-27T18:50:31.000Z	us-east-1d	c4.4xlarge	0.243
2017-11-27T18:50:15.000Z	us-east-1d	c4.4xlarge	0.2431
2017-11-27T18:50:11.000Z	us-east-1d	c4.4xlarge	0.243
2017-11-27T18:49:41.000Z	us-east-1d	c4.4xlarge	0.2428
2017-11-27T18:47:49.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T18:47:21.000Z	us-east-1d	c4.4xlarge	0.2426
2017-11-27T18:46:37.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T18:46:11.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T18:45:57.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T18:45:23.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T18:45:21.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T18:45:19.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T18:45:01.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T18:44:59.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T18:44:57.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T18:44:53.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T18:44:51.000Z	us-east-1d	c4.4xlarge	0.241
2017-11-27T18:44:49.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T18:43:19.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T18:42:29.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T18:42:27.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T18:42:23.000Z	us-east-1d	c4.4xlarge	0.2407
2017-11-27T18:42:21.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T18:40:21.000Z	us-east-1d	c4.4xlarge	0.2404
2017-11-27T18:36:51.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T18:29:39.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T18:28:27.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T18:27:25.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T18:26:27.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T18:24:07.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T18:21:01.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T18:16:51.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T18:11:37.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T18:10:39.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T18:07:25.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T18:04:45.000Z	us-east-1d	c4.4xlarge	0.2415
